,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Labuhan Batu Selatan,72.86,73.15,73.59,74.23,75.11,"8,75","8,9","8,92","8,93","9,19","18899,31","19620,41","20549,86","21565,33","22619,57","8,34","8,53","8,09","8,06","7,73",68.71,68.81,69.16,69.54,69.73,404819,426574,448994,486275,533535,87,88,101,107,109,83.27,84.85,85.13,87.49,80.93,87.43,87.61,87.98,88.34,88.88,11495,11562,11751,11950,12353
,Labuhan Batu Utara,73.47,73.73,74.61,75.45,76.2,"8,4","8,41","8,64","8,87","9,14","17306,59","17969,26","18799,03","19693,28","20527,76","9,53","10,02","9,09","9,08","8,98",69.46,69.56,69.91,70.25,70.47,471678,497922,527922,573783,607292,107,108,105,109,111,77.41,79.75,81.82,84.75,87.15,89.8,89.96,90.13,90.43,90.6,11779,11840,12258,12429,12839
,Nias Utara,63.17,63.63,64.55,65.44,66.42,"6,58","6,77","6,78","6,85","7,05","2369,36","2417,2","2490,49","2584,78","2678,92","25,07","25,66","23,4","21,79","21,5",69.43,69.55,69.9,70.24,70.44,429836,455118,474533,501443,535575,122,124,116,126,128,42.67,46.09,41.19,37.9,47.5,79.37,79.63,80.12,80.51,80.92,6064,6155,6575,6788,7189
,Nias Barat,62.58,63.05,63.96,64.68,65.66,"6,49","6,69","6,97","7,07","7,26","1257,28","1285,7","1324,42","1373,71","1427,11","25,69","26,42","24,75","22,81","22,68",68.96,69.08,69.43,69.96,70.2,433249,458533,487469,520543,556919,190,191,157,205,209,33.84,38.02,39.95,36.52,44.59,86.67,86.79,87.02,87.33,87.57,5830,5924,6152,6382,6740
,Kota Sibolga,75.56,75.87,76.69,77.07,77.52,"10,4","10,41","10,43","10,44","10,45","3521,72","3595,7","3745,07","3902,42","4055,3","11,95","12,33","11,47","11,42","11,39",69.01,69.25,69.77,70.18,70.38,453786,485527,516367,568188,612818,2169,2177,4438,7956,7998,33.23,32.33,42.05,35.05,36.9,97.63,97.89,97.9,98.01,98,11473,11540,12135,12285,12713
,Kota Tanjung Balai,73.48,73.78,74.73,75.42,75.95,"9,44","9,45","9,55","9,68","9,69","5763,21","5898,81","6131,04","6428,77","6744,35","13,33","13,4","12,45","12,21","11,97",63.27,63.44,63.87,64.28,64.44,444125,482602,515456,554065,592573,1632,1647,2992,3049,3090,86.32,89.07,93.51,94.37,96.82,89.69,90.02,90.28,90.53,90.89,11132,11225,11589,11753,12264
,Kota Pematang Siantar,78.75,79.17,79.71,80.46,81.17,"11,16","11,29","11,31","11,58","11,82","9430,04","9547,7","9878,87","10295,84","10769,97","8,27","8,52","7,88","7,24","7,2",73.55,73.77,74.25,74.75,75.05,536486,583588,631886,670183,709992,4820,4865,3610,3620,3649,88.98,88.49,92.33,91.22,91.99,95.65,95.82,95.96,95.94,96.65,12372,12436,12744,12984,13349
,Kota Tebing Tinggi,76.4,76.65,77.39,78.17,78.68,"10,31","10,44","10,65","10,86","10,87","3926,39","4024,78","4186,31","4352,75","4499,55","9,85","10,3","9,59","9,49","8,79",70.87,70.95,71.29,71.63,71.78,493227,536531,578512,623531,665016,5575,5644,4543,4568,4620,92.09,95.88,90.59,92.76,96.88,93.53,93.32,93.62,93.64,93.89,12876,12939,13144,13385,13900
,Kota Medan,81.31,81.58,82.13,82.61,83.23,"11,39","11,48","11,5","11,62","11,79",153670,"157689,4",165120,"173445,7","182242,6","8,01","8,34","8,07",8,"7,94",73.14,73.23,73.58,73.93,74.16,553796,577126,607166,651901,695295,9190,9286,8866,8859,8902,93.16,92.71,92.18,91.97,92.98,94,93.76,93.85,94.13,94.49,14890,14999,15503,15674,16069
,Kota Binjai,76.45,76.57,77.5,78.11,78.67,"10,93","10,94","11,18","11,19","11,2","7984,46","8162,78","8503,58","8907,14","9322,08","5,71","5,81","5,1","4,79","4,75",72.38,72.45,72.79,73.13,73.28,433746,466554,499451,538638,577220,4931,4990,3199,3234,3276,96.2,95.21,95.53,95.44,96.23,90.57,90.63,90.64,90.99,91.38,10997,11063,11358,11567,12015
