,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
,Kota Madiun,81.93,82.27,83.02,83.71,84.51,"11,14","11,37","11,67","11,82","12,11","10055,9","10537,7","11119,6","11764,4","12438,9","4,98","5,09","4,76","4,74","4,38",72.81,72.83,73.13,73.44,73.65,497628,514409,551620,605131,637838,5754,5805,5514,5536,5585,98.71,97.31,95.38,98.18,97.96,94.38,94.42,94.57,95.18,95.26,16018,16095,16503,17115,17518
,Kota Surabaya,82.76,82.94,83.32,83.99,84.69,"10,49","10,5","10,51","10,7","10,89","390936,4","407725,8","434268,3","459030,7","485448,9","5,02","5,23","4,72","4,65","3,96",74.18,74.18,74.47,74.75,74.94,592137,611466,652540,718370,742678,8200,8217,8595,8667,8698,91.84,95.2,96.41,97.81,96.79,93.58,93.9,94.21,94.36,94.53,17755,17862,18345,18977,19666
,Kota Batu,76.82,77.21,78.13,79.07,79.69,"9,07","9,31","9,63","9,85","9,87","11025,8","11471,4","12180,9","12936,6","13588,1","3,89","4,09","3,79","3,31","3,06",72.61,72.65,72.97,73.29,73.49,509886,522819,564010,613985,642778,1558,1570,1116,1134,1147,93.2,95.57,94.37,95.06,95.16,89.72,89.89,90.1,90.54,90.86,12824,12887,13094,13603,14253
Banten,Pandeglang,68.86,69.02,69.7,70.28,70.88,"7,1","7,11","7,13","7,15","7,16","19511,68","20116,9","20814,77","21340,73","21928,59","9,92","10,72","9,32","9,27","9,18",64.66,64.79,65.2,65.58,65.79,361713,390754,416248,455297,479886,463,469,472,474,478,50.15,49.11,62.14,62.08,63.66,86.71,86.83,86.93,87.09,87.23,8572,8635,8827,9151,9574
,Lebak,66.39,66.5,67.19,67.68,68.33,"6,4","6,41","6,59","6,6","6,61","20622,04","21278,48","22087,37","22706,47","23377,24","9,24","10,29","8,91","8,68","8,44",67.21,67.33,67.74,68.13,68.34,334509,358479,380681,419066,440705,405,411,433,433,438,63.35,56.82,67.4,68.83,70.23,79.81,79.87,80.2,80.75,81.22,8690,8724,8854,9130,9631
,Tangerang,74.09,74.47,75.15,75.56,76.19,"8,39","8,61","8,92","8,93","9,06","93480,39","97869,38","103219,4","108569,8","113998,2","6,23","7,12","6,92","6,93","6,55",69.89,69.93,70.28,70.65,70.88,520742,545065,576122,604362,632941,3208,3255,3262,3272,3309,82.23,85.89,86.63,87.75,89.38,90.98,91.08,91.24,91.67,91.69,12203,12273,12427,12749,13254
,Serang,70.93,71.05,71.99,72.63,73.28,"7,5","7,51","7,78","7,79","7,88","52866,43","54844,65","57605,99","60369,96","63255,33","4,94","5,49","4,96","4,85","4,51",64.64,64.76,65.18,65.6,65.9,341074,362102,385864,425751,449291,936,950,1142,1144,1158,77.57,80.34,82.38,84.07,85.31,92.14,91.98,92.32,92.49,92.54,10665,10713,10916,11320,11767
,Kota Tangerang,79.83,80.08,80.44,80.98,81.53,"10,69","10,83","10,84","10,91","11,14","102415,7","106413,7","112778,1","119059,9","125060,3","5,22","5,93","5,77","5,89","5,43",71.6,71.6,71.91,72.24,72.46,632835,655061,695225,746468,785113,12314,12421,10825,10937,11012,95.1,94.94,94.43,94.95,96.93,95.06,94.72,94.73,94.89,94.95,14484,14575,14909,15377,15641
,Kota Cilegon,76.8,77.11,77.68,78.24,78.83,"9,87","10,08","10,34","10,38","10,39","73319,12","77163,94","80646,38","84536,65","88628,11","3,69","4,24","3,64","3,98","3,75",66.67,66.69,67.02,67.39,67.66,504571,540032,572780,632703,663533,2478,2517,2771,2772,2804,94.38,97.07,87.72,96.23,97.1,87.22,87.25,87.57,88.05,88.29,13010,13041,13185,13663,14294
,Kota Serang,75.25,75.53,76.01,76.43,76.9,"8,76","8,89","8,9","8,91","8,93","22518,66","23392,75","24495,02","25655,25","26863,08","6,06","6,79","5,94","6,2","5,65",68,68.12,68.54,68.98,69.27,411595,431210,460613,511575,540786,2595,2642,2710,2723,2765,87.34,90.76,91.55,92.36,92.71,92.28,92.47,92.63,92.49,92.61,13212,13281,13709,14088,14603
,Kota Tangerang Selatan,82.73,82.98,83.28,83.57,84.16,"11,81","11,82","11,84","11,85","11,86","59531,08","62393,12","66021,24","69561,56","73052,84","2,29","2,57","2,5","2,57","2,36",72.47,72.47,72.78,73.11,73.31,643083,665610,712717,782543,828278,9201,9278,8361,8441,8489,97.45,98.84,97.56,99.29,99.34,93.58,93.8,93.96,94.23,94.47,15667,15751,15997,16225,17028
Bali,Jembrana,73.18,73.57,74.38,74.8,75.32,"8,23","8,35","8,64","8,65","8,7","8951,35","8892,8","9157,67","9492,38","9965,23","4,51","5,06","5,3","4,96","4,51",72.35,72.46,72.82,73.2,73.51,403462,434839,458214,496435,531164,377,382,389,381,383,93.03,96.24,95.2,96.05,96.13,93.38,93.86,94.43,94.52,94.9,11790,11675,11915,12236,12638
,Tabanan,76.67,76.95,77.22,77.87,78.83,"8,88","9,14","9,15","9,35","9,57","14808,65","14515,58","14940,44","15472,12",16236,"4,27","5,12","5,18","4,7","4,4",73.65,73.75,74.1,74.48,74.8,450571,488750,522520,562801,601963,455,459,463,549,551,94.7,98.34,93.34,95.56,96.25,95.36,95.42,95.45,95.72,95.95,14494,14326,14475,14832,15297
,Badung,81.6,81.84,82.13,83,83.73,"10,39","10,62","10,64","10,9","11,14","31147,82","29049,52","31946,05","35554,32","37667,34","2,02","2,62","2,53","2,3","2,23",75.1,75.18,75.51,75.88,76.18,587737,613993,633769,688018,737800,1310,1312,1313,1413,1426,98.88,99.59,97.5,98.98,99.3,95.51,95.53,95.65,95.94,96.16,17503,17327,17445,17915,18556
,Gianyar,77.88,78.21,78.87,79.69,80.23,"9,04","9,29","9,55","9,8","9,84","17442,44","17258,77","17956,69","18865,02","19896,35","4,08","4,85","4,7","4,47",4,73.68,73.78,74.13,74.52,74.86,400079,407945,434163,468307,500797,1400,1412,1424,1438,1447,97.98,93.48,99.95,99,99.52,94.63,94.7,94.72,95.09,95.14,14544,14391,14630,15047,15577
,Klungkung,72.97,72.98,73.77,74.18,75.15,"8,13","8,14","8,46","8,48","8,74","5608,69","5595,88","5770,48","6041,65","6348,54","4,87","5,64","6,07","5,61","5,3",71.25,71.41,71.83,72.28,72.5,318139,342043,359415,384983,411010,657,667,679,665,667,94.44,95.91,96.04,97.7,99.23,91.12,91.18,91.37,91.79,92.18,11376,11287,11500,11760,12358
,Bangli,70.6,70.6,71.47,71.99,72.51,"7,17","7,18","7,47","7,57","7,58","4399,19","4384,73","4507,38","4665,1","4876,68","4,19","5,09","5,28","5,28","5,06",70.52,70.62,70.97,71.33,71.63,346458,370732,401650,436928,465572,527,535,544,496,498,90.53,87.01,92.41,91.58,92.49,91.54,91.58,91.86,92.23,92.58,11268,11201,11424,11670,12148
,Karang Asem,68.5,68.58,69.48,70.09,70.91,"6,32","6,33","6,67","6,68","6,7","10630,37","10570,6","10843,41","11179,22","11663,31","5,91","6,78","6,98","6,56","6,52",70.47,70.56,70.89,71.25,71.53,330441,354123,376229,404083,432414,587,597,609,596,599,85.44,87.36,90.24,90.55,91.31,88.93,88.96,89.9,90.17,90.67,10237,10175,10278,10753,11176
,Buleleng,73.6,73.6,74.48,74.87,75.35,"7,24","7,25","7,56","7,57","7,69","22066,16","21785,73","22463,38","23281,43","24453,82","5,32","6,12","6,21","5,85","5,39",71.83,71.95,72.32,72.7,72.92,424602,461018,496390,537262,570129,580,591,605,612,616,91.71,94.15,92.41,90.99,93.79,91.59,91.65,91.85,91.99,92.24,13463,13362,13529,13987,14377
,Kota Denpasar,83.95,84.04,84.39,84.68,85.11,"11,47","11,48","11,5","11,52","11,53","32740,22","32439,61","34066,71","36004,3","38001,22","2,14","2,96","2,97","2,68","2,59",74.82,74.93,75.3,75.69,76.01,618064,662499,712815,778203,820512,5676,5686,5688,5946,6003,98.74,99.97,100,99.92,99.01,96.77,96.88,96.92,96.68,96.77,19723,19598,19850,20128,20763
Nusa Tenggara Barat,Lombok Barat,68.2,68.61,69.41,72.18,72.7,"6,41","6,42","6,6","6,87","6,88","10128,3","10472,21","10834,22","11379,48","11723,12","14,28","14,47","13,39","13,67","12,65",66.94,67.19,67.63,68.08,68.35,439595,466495,503509,546421,576478,685,694,806,816,829,69.57,74.1,75.74,77.81,79.62,88.85,89.22,90.41,90.65,90.66,11304,11334,11754,11960,12431
,Lombok Tengah,66.43,66.72,67.57,70.41,71.19,"6,28","6,29","6,44","6,61","6,73",11571,"12037,48","12464,4","13183,34","13624,03","13,44","13,44","12,89","12,93","12,07",66.21,66.38,66.75,67.12,67.32,421439,447200,480657,520852,549400,885,898,913,932,949,84.23,79.14,82.1,83.18,85.31,87.17,87.19,88.33,88.72,88.78,9952,9962,10470,10948,11531
,Lombok Timur,66.3,66.66,67.59,70.65,71.48,"6,7","6,71","7,04","7,12","7,36","13974,02","14410,11","14867,73","15508,94","16160,3","15,24","15,38","15,14","15,63","14,51",65.97,66.16,66.55,66.95,67.2,447263,472304,503525,546404,583957,825,837,850,866,880,83.19,84.54,83.35,85.68,87.98,91.27,91.33,92.53,92.25,92.39,9409,9450,9631,10152,10571
,Sumbawa,67.61,68.01,68.89,71.68,72.36,"7,92","8,15","8,21","8,52","8,59","10032,95","10220,82","10548,58","10929,06","11269,83","13,65","13,91","13,5","13,91","12,87",67.54,67.73,68.12,68.54,68.81,369115,376307,404396,441977,477774,77,78,79,80,81,85.24,88.01,84.54,89.29,89.4,93.67,93.48,94.59,94.79,94.96,9146,9167,9598,9981,10349
,Dompu,67.84,68.45,69.15,71.77,72.59,"8,44","8,72","8,73","8,97","9,04","4896,65","4978,99","5125,83","5288,43","5479,92","12,16","12,6","12,4","12,62","11,59",66.82,66.99,67.36,67.76,67.99,362142,370120,404413,442451,469647,102,103,105,108,110,79.26,83.72,78.09,83.23,84.63,91.02,90.66,91.17,91.33,91.52,8889,8899,9203,9404,9971
,Bima,66.3,66.66,67.57,70.33,70.99,"7,78","7,91","8,17","8,29","8,3","7943,64","8085,7","8314,53","8640,92","8884,21","14,49","14,88","14,5","14,39","13,88",66.33,66.5,66.87,67.27,67.52,356352,363228,395040,429327,451386,117,119,125,127,129,81.83,81.04,83.33,85.24,87.9,91.5,91.87,92.44,92.2,92.33,8468,8495,8699,8963,9418
,Sumbawa Barat,71.63,71.85,72.65,74.84,75.52,"8,66","8,72","8,9","8,98","8,99","16470,71","16415,89","20379,44","18265,35","20458,11","13,34","13,54","13,02","12,95","12,23",68.07,68.31,68.74,69.2,69.54,489863,499013,518619,565599,611142,79,80,87,88,89,97.76,92.93,97.18,99.45,98.09,92.77,92.8,93.82,93.48,93.61,11536,11548,11987,12214,12841
,Lombok Utara,64.42,64.77,65.7,68.02,68.64,"5,91","6,04","6,3","6,39","6,4","3217,77","3262,16","3376,02","3548,23","3699,96","26,99","27,04","25,93","25,8","23,96",67.17,67.36,67.75,68.17,68.43,451721,478906,514755,556462,594789,306,311,316,318,322,86.22,79.23,81.44,84.72,85.88,85.44,85.54,86.33,85.88,86.04,9006,9057,9433,9785,10272
,Kota Mataram,78.91,79.14,79.59,81.15,81.64,"9,46","9,54","9,55","9,56","9,58","13049,74","13475,91","13951,85","14581,39","15182,76","8,47","8,65","8,63","8,62",8,71.76,71.88,72.2,72.55,72.75,499959,524762,562661,616536,657667,7009,7048,7189,7301,7365,91.45,91.63,91.36,89.57,89.72,92.79,92.79,93.04,93.3,93.32,14968,14999,15416,15894,16514
,Kota Bima,75.81,76.11,76.84,78.24,78.91,"10,49","10,65","10,94","10,95","10,96","2879,23","2939,15","3018,4","3174,09","3302,3","8,35","8,88","8,8","8,67","8,12",70.38,70.5,70.83,71.19,71.41,383161,399193,432959,471841,496096,698,703,757,776,787,88.32,90.68,90.23,92.65,93.63,96.41,96.41,96.95,96.9,96.88,11105,11135,11395,11740,12362
Nusa Tenggara Timur,Sumba Barat,65.13,65.44,66.03,66.82,67.7,"6,6","6,84","6,85","6,92","7,17","1437,37","1452,22","1499,16","1554,46","1612,73","28,17","28,39","27,47","27,17","26,52",67.08,67.12,67.35,67.57,67.72,358252,364361,395592,422382,441428,197,201,207,201,205,46.56,54.33,52.84,58.83,60.76,94.61,94.16,94.58,94.82,95.06,7321,7307,7627,7993,8243
,Sumba Timur,68.2,68.42,68.82,69.63,70.28,"7,12","7,32","7,33","7,57","7,77","3966,2","4011,75","4117,07","4245,7","4402,5","29,65","29,68","28,22","28,08","27,04",65.13,65.16,65.38,65.82,66.05,370487,375859,414832,443502,460384,35,35,36,37,37,53.31,69.06,59.76,61.81,65.88,96.16,95.93,96.36,96.07,96.24,9406,9354,9641,10008,10280
,Kupang,66,66.08,66.72,67.51,68.26,"7,38","7,39","7,41","7,42","7,62","4754,94","4885,92","5023,19","5205,64","5381,72","22,77","22,98","21,7","21,78","21,37",64.63,64.91,65.28,65.64,65.95,379600,386577,425750,471901,486458,66,67,69,73,74,75.73,74.92,78.15,76.42,73.34,88.23,88.06,88.27,88.59,89.03,7526,7476,7776,8220,8508
,Timor Tengah Selatan,63.97,63.97,64.54,65.39,66.22,"6,73","6,74","6,76","6,97","7,21","4769,17","4883,87","5035,91","5197,44","5372,52","27,49","26,64","25,45","25,18","24,68",66.42,66.46,66.68,66.89,67.03,338099,344239,382167,420783,436707,115,116,116,121,122,49.81,50.15,60.52,67.93,70.72,94.91,94.95,95.17,95.56,95.96,6861,6839,7118,7450,7755
,Timor Tengah Utara,64.93,65.09,65.65,66.56,67.27,"7,81","7,96","7,97","8,16","8,17","2880,93","2949,05","3031,9","3122,94","3225,12","22,28","22,62","21,5","21,85","20,89",66.96,67.09,67.35,67.61,67.82,386990,394818,440155,485744,499772,97,98,100,103,105,79.3,70.03,81.98,80.56,80.84,95.55,95.19,95.51,95.8,96.08,6364,6324,6559,6889,7242
,Belu,66.32,66.4,66.87,67.5,68.13,"7,35","7,36","7,38","7,39","7,5","2968,23","3020,03","3116,22","3233,47","3361,74","15,37","15,68","14,84","14,3","13,86",64.61,64.89,65.28,65.63,65.93,372087,379280,416519,459111,476703,175,177,180,205,209,76.62,71.8,83.96,83.95,85.78,97.1,97.07,97.57,97.44,97.25,7479,7431,7593,7907,8159
,Alor,65.13,65.16,66.08,66.82,67.7,"8,41","8,42","8,43","8,45","8,61","1996,04","2045,99","2106,89","2193,1","2286,02","21,09","21,09","20,25","19,97","19,87",61.48,61.64,61.99,62.35,62.62,336402,364939,400858,438013,446875,72,73,74,76,77,77.32,83.16,81.59,81.57,85.83,92.14,92.13,92.36,92.52,92.75,6786,6751,7198,7565,7806
,Lembata,67.04,67.04,67.76,68.41,68.95,"8,22","8,23","8,25","8,26","8,27","1162,84","1179,53","1210,01","1241,18","1282,63","26,14","26,21","25,18","24,78","24,22",67.07,67.2,67.52,67.87,68.12,388577,421901,464542,508575,517948,107,109,110,111,113,90.19,91.88,88.41,87.36,88.61,91.29,91.24,91.45,91.61,91.7,7305,7257,7622,7962,8238
,Flores Timur,67.64,67.63,68.36,69.24,69.79,"7,71","7,72","7,79","8,04","8,06","3498,47","3522,55","3583,49","3697,31","3796,69","10,84","11,14","10,75","11,77","11,25",65.2,65.31,65.62,65.96,66.21,301611,329340,364117,405486,412744,158,160,163,165,167,88.51,93.06,88,93.03,96.98,91.32,91.49,92.08,91.97,92.15,7631,7578,7918,8223,8505
,Sikka,67.77,68.08,68.66,69.41,69.96,"6,94","6,95","6,96","6,98","6,99","3305,67","3375,93","3489,47","3620,86","3763,88","13,12","13,35","12,61","12,56","11,89",67.24,67.45,67.86,68.3,68.52,324775,354234,389455,428352,434074,186,187,189,201,204,77.7,83.14,79.16,80.66,85.35,89.15,88.93,88.81,89.38,89.7,8081,8021,8362,8678,9019
,Ende,70.23,70.49,71.1,71.77,72.24,"7,81","8,03","8,09","8,2","8,29","4076,21","4162,98","4291,79","4457,69","4630,78","23,76","24,13",23,"22,86","22,57",65.29,65.43,65.76,66.12,66.3,392591,428328,473403,518939,528259,131,132,132,134,135,89.59,86.63,88.09,88.45,92.69,95.64,95.81,96.2,96.17,96.33,9094,9027,9413,9739,10009
,Ngada,70.37,70.37,70.73,71.61,72.04,"8,52","8,53","8,54","8,82","8,83","2310,19","2336,24","2407,73","2491,8","2583,24","12,51","12,58","11,93","12,06","11,87",68.04,68.12,68.4,68.71,68.92,363531,396506,435916,477840,489139,96,97,99,99,100,88.69,91.4,86.66,87.08,86.56,96.09,95.76,95.9,96.33,96.35,8865,8819,8997,9350,9585
,Manggarai,66.58,67.07,67.88,68.48,69.35,"7,37","7,61","7,62","7,63","7,91","2991,32","3064,12","3151,54","3269,94","3398,36","20,34","20,48","19,84","19,69","19,01",67.03,67.11,67.38,67.63,67.89,340633,371531,407261,443908,454625,163,164,166,245,249,61.53,72.84,62.1,62.76,66.26,88,87.65,88.4,88.92,89.08,7203,7133,7580,7903,8204
,Rote Ndao,64.27,64.48,65.05,65.79,66.4,"7,59","7,71","7,76","7,82","7,83","1931,72","1974,99","2044,51","2101,79","2169,12","27,54","28,08","27,45","27,05","25,78",64.6,64.88,65.26,65.6,65.85,322619,341135,372179,410491,426843,112,114,116,117,119,80.19,87.53,88.82,84.92,85.16,84.62,84.08,84.86,85.28,85.6,6539,6503,6719,7061,7365
,Manggarai Barat,65.91,66.19,66.95,67.84,68.68,"7,3","7,56","7,8","7,94","8,21","2267,58","2296,74","2391,36","2505,77","2629,18","17,71","17,92","17,15","16,82","16,74",67.38,67.46,67.73,68,68.3,340094,370943,405746,444474,458834,82,83,84,87,88,65.54,72.81,78.09,80.81,82.03,86.67,87.11,87.82,88.43,89.04,7468,7410,7636,7913,8195
,Sumba Tengah,61.74,62.01,62.84,63.63,64.46,"6,25","6,47","6,73",7,"7,23","756,61","767,26","786,61","809,49","839,52","34,49","34,27","32,51","31,78","30,84",68.38,68.42,68.65,68.87,69.1,307853,311199,341513,362089,381760,47,48,50,51,52,36.74,50.54,54.29,48.22,52.51,90.9,90.49,90.51,90.74,91.24,6108,6061,6288,6484,6743
,Sumba Barat Daya,62.28,62.29,63.15,63.74,64.27,"6,34","6,35","6,37","6,38","6,39","2307,21","2355,32","2445,81","2520,61","2619,83",28,"28,18","27,16","27,48","27,2",68.53,68.57,68.79,68.99,69.2,383674,390217,432375,475879,494229,210,212,213,233,238,33.02,42.15,45.83,49.82,52.6,97.62,97.68,98.28,98.26,98.36,6372,6355,6779,7080,7358
,Nagekeo,67.77,67.77,68.17,69.03,69.7,"7,89","7,9","7,91","8,14","8,23","1378,04","1406,75","1449,75","1495,1","1541,69","12,61","12,91","12,05","12,33","12,3",67.13,67.25,67.56,67.91,68.17,353481,386027,422982,472041,487814,113,115,117,119,121,85.09,89.07,88.3,80.06,83.52,98.97,98.56,98.6,97.94,98.35,8309,8254,8433,8706,8986
,Manggarai Timur,62.64,63.17,64.11,65.05,66.03,"7,08","7,35","7,42","7,7","7,96","2040,01","2087,11","2165,14","2240,77","2328,88","26,52","26,5","25,35","25,06","24,9",68.04,68.07,68.29,68.49,68.69,344642,373972,411670,446504,458116,110,111,112,122,124,35.53,46.98,51.83,54.82,55.75,90.5,90.52,91.32,91.41,91.97,5818,5780,6145,6276,6561
,Sabu Raijua,59.46,59.46,60.35,61.37,62.06,"6,65","6,66","6,77","6,98","6,99","773,18","786,3","809,89","831,09","862,56","30,18","30,13","28,73","28,37","28,13",60.64,60.66,60.87,61.06,61.27,403846,438492,480844,526831,549947,194,197,202,202,206,77.16,81.28,69.6,75.21,83.51,92.79,92.31,92.57,92.25,92.42,5265,5256,5558,5899,6207
,Malaka,62.76,62.97,63.84,64.5,65.13,"6,87","7,1","7,12","7,13","7,14","1879,14","1915,74","1987,25","2062,15","2126,04","16,04","16,33","15,26","14,42","13,92",64.97,65.01,65.34,65.67,65.99,371812,378824,419292,458399,474853,158,160,162,172,174,63.51,71.08,70.88,71.32,73.7,89.49,89.42,90.08,90.43,90.79,5901,5861,6250,6569,6879
,Kota Kupang,81.91,81.93,82.37,82.77,83.21,"11,58","11,6","11,61","11,62","11,64",16351,"16569,5","17142,09","17837,09","18697,85","8,96","9,17","8,61","8,61","8,24",69.55,69.73,70.11,70.52,70.84,587921,599880,648982,732921,761108,2456,2511,2583,2929,2980,89.96,89.86,82.74,89.47,91.69,95.73,95.99,96.47,96.39,96.47,13337,13218,13513,13762,14001
Kalimantan Barat,Sambas,68.97,69.03,69.88,70.6,71.2,"6,71","6,72","6,74","6,75","6,76","13363,52","13948,12","14594,48","15278,39","16000,86","7,7","7,66","6,92","7,08","6,53",68.93,69.08,69.39,69.76,70.11,438062,451173,472079,498209,528017,94,95,96,109,110,87.63,92.66,90.43,90.02,93.68,87.07,87,87.96,88.37,88.39,9858,9828,10462,11057,11538
,Bengkayang,67.87,68.04,68.74,69.53,70.3,"6,76","6,8",7,"7,22","7,41","5600,32","5842,93","6161,45","6449,88","6755,97","6,62","6,48","6,03","6,28",6,73.83,73.84,74,74.2,74.42,365755,372793,396037,416148,440390,56,57,58,54,55,80.33,82.17,79.53,83.76,84.37,82.78,82.79,82.86,83.68,84.06,9102,9193,9484,9859,10208
,Landak,66.1,66.33,67.28,68.22,69.13,"7,11","7,12","7,15","7,24","7,46","6972,05","7312,66","7652,35","7988,2","8351,05","11,12","10,99","10,01","9,97","8,98",72.84,73.04,73.39,73.77,74,385314,395486,414536,451681,473797,45,45,45,49,50,51.22,62.85,66,65.24,66.28,88.14,88.44,88.83,89.45,89.71,7357,7431,7969,8423,8868
,Mempawah,66.71,67,67.91,68.91,69.63,"7,03","7,04","7,17","7,2","7,21","5251,04","5466,32","5723,03","6014,54","6412,72","4,95","5,18","5,32","5,21","4,83",71.04,71.18,71.47,71.74,71.87,379808,387948,414334,444790,471845,108,109,111,162,164,82.16,83.95,79.44,81.92,80.8,87.92,87.8,88.53,88.9,89.03,7801,7758,8049,8690,9163
,Sanggau,66.73,67.18,67.87,68.73,69.4,"7,15","7,39","7,41","7,44","7,47","13235,26","13790,45","14425,58","14719,8","15328,49","4,46","4,55","4,51","4,79","4,67",71.42,71.42,71.58,71.77,71.91,346983,363714,395305,416112,440303,38,38,38,40,41,70.12,70.34,64.98,65.96,73.57,81.04,81.19,82.14,82.66,83.03,8245,8328,8782,9213,9728
,Ketapang,68.13,68.39,68.86,69.61,70.34,"7,31","7,46","7,48","7,55","7,68","17911,87","18848,7","19876,46","20088,15","21070,67","10,29","10,13","9,39","9,25","8,5",71.1,71.11,71.27,71.45,71.64,468450,482824,499724,539108,570638,18,19,19,20,20,82.51,75.46,74.1,80.12,83.89,88.42,88.6,89.12,89.46,89.61,9163,9209,9426,9984,10472
,Sintang,67.61,67.66,68.59,69.39,70.13,"7,07","7,08","7,36","7,64","7,65","9375,71","9731,98","10215,01","10693,38",11.216.504,"9,27","9,28","8,57","8,18","8,03",71.71,71.84,72.12,72.41,72.72,573128,593844,620670,644010,670853,19,20,20,20,20,56.09,65.33,73.63,78.91,80.06,86.73,86.73,87.38,87.74,88.05,8728,8708,8858,9128,9657
,Kapuas Hulu,65.92,65.98,66.91,67.86,68.77,"7,52","7,53","7,59","7,82","8,03","6234,48","6510,87","6804,58","7118,7","7457,75","8,99","8,93","8,59","8,16","7,4",72.52,72.53,72.69,72.88,73.05,465360,481826,508087,543301,572644,8,9,9,8,8,54.74,69.7,60.31,69.76,74.44,84.91,84.95,85.99,86.52,86.83,7162,7168,7668,8055,8470
,Sekadau,65.33,65.48,66.13,66.83,67.74,"6,83","6,85","7,12","7,13","7,23","4252,1","4435,32","4661,47","4880,32","5117,39","5,87","6,26","5,85","5,9","5,66",71.84,72.05,72.39,72.74,72.96,339456,351726,370836,392195,414782,39,39,39,37,37,75.45,69.63,72.33,77.83,72.69,82.65,82.72,83.4,84.07,84.13,7434,7462,7566,7981,8511
,Melawi,65.74,66.06,66.99,67.92,68.81,"6,76","6,91","7,18","7,42","7,66","3348,11","3500,14","3671,61","3838,95","4021,65","12,04","12,01","11,44","11,12","10,62",72.97,72.98,73.14,73.32,73.49,550535,570434,602209,640608,666972,21,22,22,24,24,67.95,71.62,65.5,66.24,71.38,80.1,80.15,80.82,81.22,81.9,8332,8415,8830,9155,9596
,Kayong Utara,63.97,64.18,65.09,66.06,67.05,"6,01","6,02","6,21","6,35","6,54","2517,55","2632,99","2765,56","2889,47","3019,94","9,56","9,33","9,04","9,13","8,84",68.28,68.48,68.82,69.22,69.51,311643,321356,339089,365262,386071,28,28,29,32,33,63.19,71.34,77.87,70.59,73,85.75,86.04,87.07,86.8,86.99,7842,7920,8234,8594,9016
,Kubu Raya,68.89,69.09,69.83,70.5,71.14,"6,83",7,"7,02","7,04","7,05","17831,73","18754,97","19783,11","20768,22","21794,06","4,42","4,34","4,12","4,23","4,08",70.59,70.69,70.95,71.26,71.44,423430,431211,457367,492642,511815,88,88,89,75,76,77.89,75.74,73.52,77.79,77.94,84.3,84.3,85.26,85.45,85.68,8709,8630,9142,9605,10132
,Kota Pontianak,80.1,80.59,81.1,81.63,82.22,"10,17","10,43","10,44","10,45","10,47","23822,51","24919,42","26159,52","27404,86","28784,47","4,7","4,58","4,46","4,45","4,2",72.96,73.12,73.46,73.87,74.15,567432,578615,622735,677512,708333,6110,6157,6213,5714,5760,96.12,96.48,98.13,98.06,96.5,93.73,94.01,94.1,94.65,94.8,14465,14610,15141,15632,16212
,Kota Singkawang,72.73,72.9,73.66,74.13,74.68,"7,89","7,9","8,19","8,21","8,22","6657,05","6977,77","7330,03","7694,93","8084,58","4,53","4,83","4,67","4,7","4,53",72.06,72.18,72.46,72.81,72.98,510596,527892,552823,588561,614077,466,472,479,447,454,88.38,92.21,93.7,88.29,89.23,92,92,92.83,93.05,93.15,11650,11767,12089,12457,12945
Kalimantan Tengah,Kotawaringin Barat,73.95,74.15,74.39,74.92,75.35,"8,42","8,53","8,54","8,66","8,77","48149,3",50250,"52639,1","55217,7","56861,1","3,59","3,95","3,93","4,18","4,11",70.59,70.68,70.98,71.28,71.38,397883,418388,476297,513949,536747,25,25,29,30,30,83.58,90.73,88.08,92.21,92,91.67,91.69,91.89,92.05,92.32,13109,13117,13352,13798,14095
,Kotawaringin Timur,73.18,73.25,73.45,73.99,74.47,"8,13","8,15","8,16","8,17","8,18","41765,9",42164,44761,"45058,8",46358,"5,62","5,91","5,95","5,69","5,66",69.85,69.9,70.15,70.39,70.51,446039,467551,510290,547170,572827,26,26,28,29,29,68.84,72.62,73.23,74.97,75.67,88.12,88.14,88.3,88.34,88.57,11854,11866,12048,12546,13042
,Kapuas,71.18,71.34,71.72,72.4,72.98,"7,59","7,6","7,64","7,84","7,93",26392,"27255,9","28810,6","30089,9","31211,4","5,04","5,35","5,52","5,21","5,25",68.74,68.78,69.02,69.23,69.34,332999,345272,424066,485958,508022,27,28,25,25,25,47.87,49.23,53.31,60.98,63.31,95.35,95.32,95.44,95.51,95.68,11015,11148,11377,11829,12265
,Barito Selatan,72.73,73.05,73.45,74.01,74.76,"8,82","8,95","9,01","9,13","9,22","32324,9","32759,5","34484,7",35290,"36618,2","4,45","4,62","4,88","4,72","4,83",67.09,67.19,67.48,67.75,67.86,433787,450706,481352,512492,542075,15,15,21,22,22,68.69,63.66,57.6,62.75,64.3,91.92,91.78,92.03,92.29,92.61,11486,11492,11780,12067,12508
